channelId,publishedAt,country,subscriberCount,videoCount,viewCount,commentCount
UCtinbF-Q-fVthA0qrFQTgXQ,2010-02-15 22:06:07,,6650622,761,1499866038,650
UCbms89jPL-VXHeeFfZfi7Ww,2005-09-24 05:13:19,,97,3,2427747,327
UC-lHJZR3Gqxm24_Vd_AJ5Yw,2010-04-29 10:54:00,US,54250344,3120,14827770545,289181
UCZJ7m7EnCNodqnu5SAtg8eQ,2011-09-08 20:25:54,CL,31243110,137,3018985122,94504
UCHkj014U2CQ2Nv0UZeYpE_A,2009-09-26 03:46:15,,27767128,124,14558587347,471563
UC2xskkQVFEpLcGFnNSLQY0A,2009-05-12 05:29:11,,24282601,107,10936440940,78210
UCXazgXDIYyWH-yXLAkcrFxw,2011-12-20 00:48:42,,23551997,696,5093276727,59450
UCY30JRSgfhYXA6i6xX1erWg,2005-11-19 10:25:07,US,22591585,858,6319358787,1377627
UCbW18JZRgko_mOGm5er8Yzg,2010-12-04 21:25:34,,21686276,173,7134758052,45861
UCANLZYMidaCbLQFWXBC95Jg,2009-05-12 05:29:33,,21651852,78,10890181572,39427
UC-8Q-hLdECwQmaWNwXitYDw,2009-12-13 03:04:53,,21440889,87,11029374758,46280
UC20vb-R_px4CguHzzBPhoyQ,2009-05-12 05:27:52,,21275944,65,8216854418,112632
UCV4xOVpbcV8SdueDCOxLXtQ,2011-05-02 05:32:42,SV,20224619,541,4692027997,737
UCKqH_9mk1waLgBiL2vT5b9g,2011-09-15 07:05:29,,20205609,595,6835263359,5053
UCSAUGyc_xA8uYzaIVG6MESQ,2006-07-21 01:40:43,,19342031,302,3223838094,73077
UCp0hYYBW6IMayGgR-WeoCvQ,2006-11-21 04:53:43,US,19143296,7311,8302328355,137050
UCYiGq8XF7YQD00x7wAd62Zg,2013-05-19 00:09:13,CL,18050642,1028,4370018405,2619
UC44eGZ76AJLHAxPaJ_MW2RA,2012-01-30 05:37:04,US,2019721,2512,3152564531,15
UCtgpDqkeOToveUgh8igrvXQ,2009-02-28 13:22:10,,2040325,196,2679205878,672
UCeUYwh-WiIoG47ECQvQxKsA,2010-07-26 17:19:11,,2810821,458,3232030547,102
UCXhSCMRRPyxSoyLSPFxK7VA,2010-02-13 16:06:08,US,5787933,388,886121555,174
UCGi_crMdUZnrcsvkCa8pt-g,2010-01-26 11:28:08,US,4894238,1272,1622360563,6444
UCB8p9XDpbCoX9slaPPP7sgw,2012-09-18 08:05:37,TH,513466,224,402733305,0
UCdC5JUgT2RxLyRAgrRm471w,2010-08-21 05:39:38,FI,19249,740,34348264,21
UCMMTsbfETvrSwwcvB7VE-iw,2005-11-29 01:09:38,,129415,122,29958804,325
